id	stage	section	subsection	caption	timing	who	illo	mood	bg	template	pack	file
LC-280	Baby	Custom moments	Custom & Journal	Today's date	Anytime	Baby cub	minimal journaling card illustration for 'today's date', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	280_baby_today_s_date.png
LC-281	Baby	Custom moments	Custom & Journal	Today's favourite thing	Anytime	Baby cub	minimal journaling card illustration for 'today's favourite thing', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	281_baby_today_s_favourite_thing.png
LC-282	Baby	Custom moments	Custom & Journal	Today's little story	Anytime	Baby cub	minimal journaling card illustration for 'today's little story', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	282_baby_today_s_little_story.png
LC-283	Baby	Custom moments	Custom & Journal	Our favourite memory	Anytime	Baby cub	minimal journaling card illustration for 'our favourite memory', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	283_baby_our_favourite_memory.png
LC-284	Baby	Custom moments	Custom & Journal	One for the memory book	Anytime	Baby cub	minimal journaling card illustration for 'one for the memory book', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	284_baby_one_for_the_memory_book.png
LC-285	Baby	Custom moments	Custom & Journal	Dear little cub	Anytime	Baby cub	minimal journaling card illustration for 'dear little cub', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	285_baby_dear_little_cub.png
LC-286	Baby	Custom moments	Custom & Journal	What I want to remember	Anytime	Baby cub	minimal journaling card illustration for 'what i want to remember', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	286_baby_what_i_want_to_remember.png
LC-287	Baby	Custom moments	Custom & Journal	A note from Grandma	Anytime	Baby cub	minimal journaling card illustration for 'a note from grandma', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	287_baby_a_note_from_grandma.png
LC-288	Baby	Custom moments	Custom & Journal	A note from Grandpa	Anytime	Baby cub	minimal journaling card illustration for 'a note from grandpa', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	288_baby_a_note_from_grandpa.png
LC-289	Baby	Custom moments	Custom & Journal	A family wish	Anytime	Baby cub	minimal journaling card illustration for 'a family wish', with large empty space and one gentle Little Cubby character accent	gentle	cream blank	T14 Journal	Core	289_baby_a_family_wish.png
LC-290	Baby	Firsts	Travel Firsts	First car ride	Anytime	Baby cub	baby cub buckled snugly in a soft rounded seat inside a gentle car interior, watching out the window	cosy wonder	warm cream	T10 Firsts	Core	290_baby_first_car_ride.png
LC-291	Baby	Firsts	Travel Firsts	First time in my car seat	Anytime	Baby cub	baby cub sitting proud and snug in a soft padded car seat shape with rounded straps	proud snug	pale beige	T10 Firsts	Core	291_baby_first_time_in_my_car_seat.png
LC-292	Baby	Firsts	Travel Firsts	First pram walk	Anytime	Baby cub	baby cub peeking happily out of a classic rounded pram, a leaf drifting by	fresh air joy	pale sage	T10 Firsts	Core	292_baby_first_pram_walk.png
LC-293	Baby	Firsts	Travel Firsts	First time in the baby carrier	Anytime	Baby cub	tiny cub snuggled against a parent bear's chest in a soft wrap carrier, eyes peeking out	held close	soft blush	T10 Firsts	Core	293_baby_first_time_in_the_baby_carrier.png
LC-294	Baby	Firsts	Travel Firsts	First train ride	Anytime	Baby cub	baby cub kneeling at a big train window watching soft hills roll past	window wonder	muted sage	T10 Firsts	Core	294_baby_first_train_ride.png
LC-295	Baby	Firsts	Travel Firsts	First bus ride	Anytime	Baby cub	baby cub on a parent bear's lap by a big rounded bus window	everyday adventure	warm oat	T10 Firsts	Core	295_baby_first_bus_ride.png
LC-296	Baby	Firsts	Travel Firsts	First auto-rickshaw ride	Anytime	Baby cub	baby cub peeking out of a small rounded three-wheeler silhouette with a soft canopy	gleeful breeze	dusty cream	T10 Firsts	Core	296_baby_first_auto-rickshaw_ride.png
LC-297	Baby	Firsts	Travel Firsts	First taxi ride	Anytime	Baby cub	baby cub waving from the window of a small rounded taxi shape with a tiny roof light	city wonder	warm cream	T10 Firsts	Core	297_baby_first_taxi_ride.png
LC-298	Baby	Firsts	Travel Firsts	First boat ride	Anytime	Baby cub	baby cub in a little rounded boat on gentle water ripples, one paw trailing	calm waters	muted sage	T10 Firsts	Core	298_baby_first_boat_ride.png
LC-299	Baby	Firsts	Travel Firsts	First bicycle ride	Anytime	Baby cub	baby cub in a little seat behind a parent bear on a bicycle, both smiling into the breeze	breezy together	pale sage	T10 Firsts	Core	299_baby_first_bicycle_ride.png
